ID	COMPLEX_ID	ADDRESS
503	114	Москва, 3-й Митинский пер., д. 6, корп. 2
504	114	Москва, 3-й Митинский пер., д. 1, корп. 2
505	115	Москва, Светлогорский пр, д. 7, корп. 1
506	115	Москва, Яна Райниса, д. 43, корп.2
507	115	Москва, ул. Василия Петушкова, д.23, корп.1
508	115	Москва, Яна Райниса бульв., д. 39, корп.1
509	115	Москва, Яна Райниса бульв., д. 47, корп.2
510	115	Москва, ул. Василия Петушкова, д. 11, корп. 2
511	116	Москва, Ангелов пер., д. 7 корп. 2
512	116	Москва, Ангелов пер., д. 11 корп. 2
513	117	Москва, Пятницкое ш., д. 45, корп.2
514	117	Москва, ул. Барышиха, д. 42, корп.1
515	117	Москва, ул. Барышиха, д. 42, корп.2
516	117	Москва, ул. Барышиха, д.40, корп.2
517	117	Москва, Ангелов пер., д.2, корп.3
518	117	Москва, ул. Митинская, д.57, корп.1
519	117	Москва, Пятницкое ш., д.45, корп.1
520	118	Москва, Пятницкое ш., д. 25, корп.3
521	118	Москва, Пятницкое ш., д. 25, корп.2
522	118	Москва, 2-ой Митинский пер., д.5, корп.1
523	119	Москва, Ангелов пер., д.2, корп.2
524	119	Москва, ул. Героев Панфиловцев, д.9 корп.2
525	119	Москва, ул. Свободы, д.65, корп.1
526	119	Москва, ул. Мещерякова, д.2, корп.2
527	120	Москва, Новохорошевский пр., д. 12
